label,success,failureMessage,URL
GetComplianceReport001ID,true,,null
GetComplianceReport002ID,true,,null
GetAssessmentReport001ID,true,,null
GetAssessmentReport002ID,true,,null
SaveReportIDs,true,,null
GetReport001PeakID,true,,null
GetReport001ViewID,true,,null
SaveReportItemIDs,true,,null
LoginGET,true,,https://p3sqaauto.picarro.com/Account/Login?Username=AutomationAdmin&Password=sqa#Picarro$0
LoginPOST,true,,https://p3sqaauto.picarro.com/Home
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Account/Preferences
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Account/ChangePassword
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ResetPassword?id=de734ddf-363e-49fc-8dbc-39c8c221c562
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/LaunchCalibration
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/Calibration?Address=https%3A%2F%2Fsurveyorprivate.picarro.com&Port=5600
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageCalibrationRecord?surveyorUnitid=fb4f3579-843a-113e-001c-39d4011393c9
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageSurveyors
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageSurveyorsData
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageSurveyor?id=fb4f3579-843a-113e-001c-39d4011393c9
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageCustomers
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageCustomersData
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageCustomer?id=b1252204-04fb-4a67-82d4-3f4666fd855c
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ValidateCustomer?name=b1252204-04fb-4a67-82d4-3f4666fd855c
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageSurveyorHistories
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageSurveyorHistoriesData
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageUsers
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageUser?id=de734ddf-363e-49fc-8dbc-39c8c221c562&picarro=true%20
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageUsersData
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ValidateUser?userId=sqapicdr
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageRefGasBottles
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageRefGasBottlesData
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/AddRefGasBottle
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageLocations
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageLocation?id=00000000-0000-0000-0001-000000000000
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageLocationsData
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/AnalyzerLogs
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/AnalyzerLogsData
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/AnalyzerAlarmLog?analyzerId=00000015-db64-fde7-7e67-39c8ac533d49
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/AnalyzerAlarmLogData?analyzerId=00000015-db64-fde7-7e67-39c8ac533d49&sEcho=1&iColumns=2&sColumns=%2C&iDisplayStart=0&iDisplayLength=10&mDataProp_0=MessageDate&sSearch_0=&bRegex_0=false&bSearchable_0=true&mDataProp_1=Message&sSearch_1=&bRegex_1=false&bSearchable_1=true&sSearch=&bRegex=false&_=1460144059353
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/AnalyzerLog?analyzerId=00000015-db64-fde7-7e67-39c8ac533d49
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/AnalyzerLogData?analyzerId=00000015-db64-fde7-7e67-39c8ac533d49&sEcho=1&iColumns=3&sColumns=%2C%2C&iDisplayStart=0&iDisplayLength=10&mDataProp_0=Id&sSearch_0=&bRegex_0=false&bSearchable_0=true&mDataProp_1=Message&sSearch_1=&bRegex_1=false&bSearchable_1=true&mDataProp_2=MessageDate&sSearch_2=&bRegex_2=false&bSearchable_2=true&sSearch=&bRegex=false&_=1460144065236
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ServerLog
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ServerLogData?sEcho=1&iColumns=6&sColumns=%2C%2C%2C%2C%2C&iDisplayStart=0&iDisplayLength=10&mDataProp_0=Id&sSearch_0=&bRegex_0=false&bSearchable_0=true&bSortable_0=true&mDataProp_1=Thread&sSearch_1=&bRegex_1=false&bSearchable_1=true&bSortable_1=true&mDataProp_2=Level&sSearch_2=&bRegex_2=false&bSearchable_2=true&bSortable_2=true&mDataProp_3=Message&sSearch_3=&bRegex_3=false&bSearchable_3=true&bSortable_3=true&mDataProp_4=Exception&sSearch_4=&bRegex_4=false&bSearchable_4=true&bSortable_4=false&mDataProp_5=MessageDate&sSearch_5=&bRegex_5=false&bSearchab
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageAnalyzers
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageAnalyzersData
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Picarro/ManageAnalyzer/SimAuto-Analyzer1
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Live/Cesium
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Live/Survey/271d9db6-c0bd-eb32-2b48-39d1531dc264
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Live/Observer?serialNumber=SimAuto-Analyzer1
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Live/Driver?serialNumber=SimAuto-Analyzer1&address=AnyAddress&port=9999
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Home/SurveyorSystemsData?sEcho=1&iColumns=4&sColumns=%2C%2C%2C&iDisplayStart=0&iDisplayLength=10&mDataProp_0=SurveyorName&sSearch_0=&bRegex_0=false&bSearchable_0=true&bSortable_0=true&mDataProp_1=SerialNumber&sSearch_1=&bRegex_1=false&bSearchable_1=true&bSortable_1=true&mDataProp_2=AnalyzerBuildNumber&sSearch_2=&bRegex_2=false&bSearchable_2=true&bSortable_2=true&mDataProp_3=Status&sSearch_3=&bRegex_3=false&bSearchable_3=true&bSortable_3=true&sSearch=&bRegex=false&iSortCol_0=3&sSortDir_0=desc&iSortingCols=1&_=1460079331460
PicarroAdminHTTPGETS,true,,https://p3sqaauto.picarro.com/Home/MeasurementSessions
