Account,Preferences,YES,YES,YES,YES,YES,YES
Account,ChangePassword,YES,YES,YES,YES,YES,YES
Picarro,ResetPassword?id=35eb3e96-7a96-5cdc-4fb7-39d13ee41129,YES,YES,YES,NO,NO,YES
Picarro,LaunchCalibration,NO,YES,YES,NO,NO,YES
Picarro,Calibration?Address=https%3A%2F%2Fsurveyorprivate.picarro.com&Port=5600,NO,YES,YES,NO,NO,YES
Picarro,UserFeedback,YES,YES,YES,YES,YES,YES
Picarro,UserFeedbackData?_=1459985983700,YES,YES,YES,NO,NO,YES
Picarro,ManageSurveyors,NO,YES,YES,NO,NO,YES
Picarro,ManageSurveyorsData?_=1459986796700,NO,YES,YES,NO,NO,YES
Picarro,ManageSurveyor?id=09765bfa-3642-a3f9-9196-39ca4d347aab,NO,YES,YES,NO,NO,YES
Picarro,ManageCustomers,NO,YES,YES,NO,NO,YES
Picarro,ManageCustomersData?_=1460143859708,NO,YES,YES,NO,NO,YES
Picarro,ManageCustomer?id=b59c13a0-a2da-7c33-b3fe-39d709341216,NO,YES,YES,NO,NO,YES
Picarro,ManageSurveyorHistories,NO,YES,YES,NO,NO,YES
Picarro,ManageSurveyorHistoriesData?_=1460144034968,NO,YES,YES,NO,NO,YES
Picarro,ManageUsers,NO,YES,YES,NO,NO,YES
Picarro,ManageUser?id=de734ddf-363e-49fc-8dbc-39c8c221c601&picarro=true ,NO,YES,YES,NO,NO,YES
Picarro,ManageUsersData?_=1459990108337,NO,YES,YES,NO,NO,YES
Picarro,ValidateUser?userId=sqapicdr@picarro.com,NO,YES,YES,NO,NO,YES
Picarro,ManageRefGasBottles,NO,YES,YES,NO,NO,YES
Picarro,ManageRefGasBottlesData?_=1459992074469,NO,YES,YES,NO,NO,YES
Picarro,AddRefGasBottle,NO,YES,YES,NO,NO,YES
Picarro,ManageLocations,NO,YES,YES,NO,NO,YES
Picarro,ManageLocation?id=5374663e-ceb3-090a-bf4d-39cae8e170f4,NO,YES,YES,NO,NO,YES
Picarro,ManageLocationsData?_=1459992325587,NO,YES,YES,NO,NO,YES
Picarro,AnalyzerLogs,NO,YES,YES,NO,NO,YES
Picarro,AnalyzerLogsData?_=1460144049493,NO,YES,YES,NO,NO,YES
Picarro,AnalyzerAlarmLog?analyzerId=00000015-db64-fde7-7e67-39c8ac533d49,NO,YES,YES,NO,NO,YES
Picarro,AnalyzerAlarmLogData?analyzerId=00000015-db64-fde7-7e67-39c8ac533d49&sEcho=1&iColumns=2&sColumns=%2C&iDisplayStart=0&iDisplayLength=10&mDataProp_0=MessageDate&sSearch_0=&bRegex_0=false&bSearchable_0=true&mDataProp_1=Message&sSearch_1=&bRegex_1=false&bSearchable_1=true&sSearch=&bRegex=false&_=1460144059353,NO,YES,YES,NO,NO,YES
Picarro,AnalyzerLog?analyzerId=00000015-db64-fde7-7e67-39c8ac533d49,NO,YES,YES,NO,NO,YES
